source_iso3,hq_iso3,commodity,year,share,fallback
ECU,MEX,oil_gas,2016,0.015247,True
ECU,THA,oil_gas,2016,0.013453,True
ECU,EGY,oil_gas,2016,0.013849,True
ECU,IDN,oil_gas,2016,0.009032,True
ECU,MYS,oil_gas,2016,0.011322,True
ECU,ESP,oil_gas,2016,0.008239,True
ECU,CAN,oil_gas,2016,0.059388,True
ECU,NLD,oil_gas,2016,0.017572,True
ECU,CUW,oil_gas,2016,0.008608,True
ECU,TWN,oil_gas,2016,0.012638,True
ECU,KOR,oil_gas,2016,0.021509,True
ECU,AUT,oil_gas,2016,0.006748,True
ECU,PAN,oil_gas,2016,0.006501,True
ECU,POL,oil_gas,2016,0.001666,True
ECU,ARE,oil_gas,2016,0.010881,True
ECU,CHL,oil_gas,2016,0.005418,True
ECU,CYP,oil_gas,2016,0.006158,True
ECU,IRL,oil_gas,2016,0.006707,True
ECU,PRT,oil_gas,2016,0.004353,True
ECU,CHE,oil_gas,2016,0.008512,True
ECU,ARG,oil_gas,2016,0.005001,True
ECU,KWT,oil_gas,2016,0.005645,True
ECU,AUS,oil_gas,2016,0.013558,True
ECU,FIN,oil_gas,2016,0.006462,True
ECU,HUN,oil_gas,2016,0.004224,True
ECU,ZAF,oil_gas,2016,0.003653,True
ECU,IND,oil_gas,2016,0.008656,True
ECU,DEU,oil_gas,2016,0.012450,True
ECU,GRC,oil_gas,2016,0.005375,True
ECU,PHL,oil_gas,2016,0.003391,True
ECU,UKR,oil_gas,2016,0.003274,True
ECU,LBY,oil_gas,2016,0.001693,True
ECU,KAZ,oil_gas,2016,0.001795,True
ECU,VNM,oil_gas,2016,0.004488,True
ECU,VGB,oil_gas,2016,0.002809,True
ECU,BMU,oil_gas,2016,0.005058,True
ECU,SVN,oil_gas,2016,0.001213,True
ECU,QAT,oil_gas,2016,0.001139,True
ECU,HKG,oil_gas,2016,0.001723,True
ECU,CYM,oil_gas,2016,0.003045,True
ECU,NZL,oil_gas,2016,0.001124,True
ECU,LUX,oil_gas,2016,0.001389,True
ECU,DNK,oil_gas,2016,0.000863,True
ECU,JOR,oil_gas,2016,0.000745,True
ECU,PAK,oil_gas,2016,0.002124,True
ECU,HRV,oil_gas,2016,0.000662,True
ECU,NGA,oil_gas,2016,0.001034,True
ECU,CRI,oil_gas,2016,0.000634,True
ECU,SGP,oil_gas,2016,0.002267,True
ECU,PER,oil_gas,2016,0.000898,True
ECU,SWE,oil_gas,2016,0.001480,True
ECU,CZE,oil_gas,2016,0.001152,True
ECU,MLT,oil_gas,2016,0.001098,True
ECU,BGD,oil_gas,2016,0.000572,True
ECU,LBR,oil_gas,2016,0.000408,True
ECU,TUR,oil_gas,2016,0.002002,True
ECU,MAR,oil_gas,2016,0.000872,True
ECU,OMN,oil_gas,2016,0.000713,True
ECU,IRN,oil_gas,2016,0.000643,True
ECU,BEL,oil_gas,2016,0.002117,True
ECU,ISR,oil_gas,2016,0.000693,True
ECU,ROU,oil_gas,2016,0.000446,True
ECU,COL,oil_gas,2016,0.000944,True
ECU,BGR,oil_gas,2016,0.000663,True
ECU,SVK,oil_gas,2016,0.000259,True
ECU,SYC,oil_gas,2016,0.000143,True
ECU,BHS,oil_gas,2016,0.000223,True
ECU,HND,oil_gas,2016,0.000121,True
ECU,LTU,oil_gas,2016,0.000134,True
ECU,SRB,oil_gas,2016,0.000187,True
ECU,MH,oil_gas,2016,0.000088,True
ECU,BOL,oil_gas,2016,0.000086,True
ECU,MKD,oil_gas,2016,0.000098,True
ECU,ISL,oil_gas,2016,0.000082,True
ECU,DZA,oil_gas,2016,0.000080,True
ECU,LI,oil_gas,2016,0.000096,True
ECU,BIH,oil_gas,2016,0.000114,True
ECU,BLR,oil_gas,2016,0.000060,True
ECU,CIV,oil_gas,2016,0.000045,True
ECU,MNG,oil_gas,2016,0.000090,True
ECU,EST,oil_gas,2016,0.000059,True
ECU,ALB,oil_gas,2016,0.000037,True
ECU,AZE,oil_gas,2016,0.000037,True
ECU,ECU,oil_gas,2016,0.000037,True
ECU,LVA,oil_gas,2016,0.000036,True
ECU,LKA,oil_gas,2016,0.000036,True
ECU,LAO,oil_gas,2016,0.000034,True
ECU,WS,oil_gas,2016,0.000031,True
ECU,MDA,oil_gas,2016,0.000028,True
ECU,KV,oil_gas,2016,0.000046,True
ECU,MOZ,oil_gas,2016,0.000021,True
ECU,IRQ,oil_gas,2016,0.000004,True
IRN,IRN,minerals,2016,1.000000,False
NLD,NLD,oil_gas,2016,0.697662,False
NLD,CHE,oil_gas,2016,0.157693,False
NLD,LBY,oil_gas,2016,0.063707,False
NLD,GBR,oil_gas,2016,0.030802,False
NLD,CUW,oil_gas,2016,0.010814,False
NLD,CAN,oil_gas,2016,0.009457,False
NLD,KOR,oil_gas,2016,0.005287,False
NLD,USA,oil_gas,2016,0.008797,False
NLD,PHL,oil_gas,2016,0.003791,False
NLD,BEL,oil_gas,2016,0.003337,False
NLD,LUX,oil_gas,2016,0.002123,False
NLD,FRA,oil_gas,2016,0.001898,False
NLD,EGY,oil_gas,2016,0.001768,False
NLD,IND,oil_gas,2016,0.001641,False
NLD,MEX,oil_gas,2016,0.001222,False
BRA,BRA,oil_gas,2016,0.992599,False
BRA,BHS,oil_gas,2016,0.003930,False
BRA,CHE,oil_gas,2016,0.001055,False
BRA,NLD,oil_gas,2016,0.001320,False
BRA,NOR,oil_gas,2016,0.000639,False
BRA,LUX,oil_gas,2016,0.000457,False
KOR,KOR,oil_gas,2016,1.000000,False
ROU,ROU,oil_gas,2016,0.895970,False
ROU,DEU,oil_gas,2016,0.098701,False
ROU,CYM,oil_gas,2016,0.005329,False
CAN,CAN,coal,2016,0.956021,False
CAN,USA,coal,2016,0.043979,False
BIH,GBR,coal,2016,0.174112,True
BIH,JPN,coal,2016,0.020330,True
BIH,LUX,coal,2016,0.026127,True
BIH,AUS,coal,2016,0.061787,True
BIH,DEU,coal,2016,0.059179,True
BIH,CHN,coal,2016,0.245944,True
BIH,USA,coal,2016,0.154590,True
BIH,CAN,coal,2016,0.010781,True
BIH,IND,coal,2016,0.046121,True
BIH,COL,coal,2016,0.034528,True
BIH,RUS,coal,2016,0.045549,True
BIH,MNG,coal,2016,0.020037,True
BIH,IDN,coal,2016,0.034668,True
BIH,THA,coal,2016,0.012746,True
BIH,CHL,coal,2016,0.011009,True
BIH,ZAF,coal,2016,0.008419,True
BIH,ESP,coal,2016,0.004090,True
BIH,TUR,coal,2016,0.004755,True
BIH,CZE,coal,2016,0.005724,True
BIH,MEX,coal,2016,0.003347,True
BIH,CYP,coal,2016,0.001784,True
BIH,VNM,coal,2016,0.005675,True
BIH,SGP,coal,2016,0.000950,True
BIH,KV,coal,2016,0.000885,True
BIH,POL,coal,2016,0.001944,True
BIH,HKG,coal,2016,0.000761,True
BIH,CYM,coal,2016,0.001405,True
BIH,SVN,coal,2016,0.000606,True
BIH,CHE,coal,2016,0.000599,True
BIH,VGB,coal,2016,0.000410,True
BIH,BIH,coal,2016,0.000402,True
BIH,BMU,coal,2016,0.000370,True
BIH,KAZ,coal,2016,0.000367,True
TUR,GBR,coal,2016,0.174112,True
TUR,JPN,coal,2016,0.020330,True
