partner_jurisdiction,negative_misalignment,tax_revenue_loss,tax_revenue_loss_suffered_pct_of_total,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,positive_misalignment,tax_revenue_gain,tax_revenue_loss_caused_usd,tax_revenue_loss_caused_pct_of_total,etr_average_corrected,cit,region_tjn,ukt,eu27,oecd,oecd_oct,oecd_inkl_oct
Portugal,7053.735598,2221.926713,0.008644515,0.124461749,0.039403777,270.446163,24.65660878,45.29825513,0.000176235,0.091170119,0.315,Europe,0,1,1,0,1
Puerto Rico,329.936542,123.7262033,0.000481363,,,26855.76316,556.9094018,4498.193643,0.017500443,0.020737054,0.375,Caribbean/American isl.,0,0,0,1,1
Qatar,1155.607628,115.5607628,0.000449595,0.026140556,,697.6102335,77.97826826,116.8459038,0.000454595,0.111779135,0.1,Asia,0,0,0,0,0
Rest of the world,404251.2127,0,0,,,294279.4949,40898.43632,49290.20804,0.191765969,0.138978206,0,Nodata,0,0,0,0,0
Romania,12832.46637,2053.19462,0.007988054,0.146779568,0.048007519,158.6545862,22.10795929,26.57377661,0.000103387,0.139346487,0.16,Europe,0,1,0,0,0
Russia,4456.710568,891.3421136,0.00346781,0.009223803,0.004166061,0,0,0,0,0.284338533,0.2,Europe,0,0,0,0,0
Rwanda,50.24029766,15.0720893,5.86E-05,0.045543519,0.010606476,3.428027756,0.239110464,0.574175925,2.23E-06,0.069751612,0.3,Africa,0,0,0,0,0
Saint Kitts and Nevis,0.07443058,0.024562092,9.56E-08,0.000805402,0.000146952,0,0,0,0,0.062870326,0.33,Caribbean/American isl.,0,0,0,0,0
Saint Lucia,371.5281174,111.4584352,0.000433635,2.502997671,0.308766551,31.96698445,0,5.354295292,2.08E-05,0,0.3,Caribbean/American isl.,0,0,0,0,0
Saint Vincent and the Grenadines,7.140518432,2.14215553,8.33E-06,0.067632398,0.010663975,69.17595437,5.606875974,11.58659452,4.51E-05,0.081052383,0.3,Caribbean/American isl.,0,0,0,0,0
Samoa,5516.713741,1489.51271,0.005795022,34.28175679,7.053641432,4.933251533,0.082058647,0.826292686,3.21E-06,0.016633785,0.27,Oceania,0,0,0,0,0
Sao Tome and Principe,1.676409075,0.419102269,1.63E-06,0.023544726,,0,0,0,0,0,0.25,Africa,0,0,0,0,0
Saudi Arabia,3162.337059,632.4674119,0.002460645,0.015847861,0.007479388,0,0,0,0,0.351571233,0.2,Asia,0,0,0,0,0
Senegal,113.8934207,34.16802622,0.000132932,0.109941897,0.007074222,0,0,0,0,0.270712901,0.3,Africa,0,0,0,0,0
Serbia,1434.698502,215.2047754,0.000837265,0.054494273,0.016544424,411.7571882,27.20136134,68.96708001,0.00026832,0.066061655,0.15,Europe,0,0,0,0,0
Seychelles,5460.71906,1638.215718,0.006373559,27.98934788,3.530774283,0,0,0,0,0,0.3,Africa,0,0,0,0,0
Sierra Leone,1.4505343,0.362633575,1.41E-06,0.004408563,,0,0,0,0,0.184401823,0.25,Africa,0,0,0,0,0
Singapore,9545.14927,1622.675376,0.006313098,0.109215947,0.029173123,86742.78575,5115.775329,14528.94282,0.056525564,0.058976378,0.17,Asia,0,0,0,0,0
Sint Maarten,0.00164456,0.000575596,2.24E-09,,,0,0,0,0,0,0.35,Caribbean/American isl.,0,0,0,1,1
Slovak Republic,2193.158113,460.5632037,0.001791844,0.062804702,0.020140669,905.7963079,125.3949994,151.7159341,0.000590258,0.138436201,0.21,Europe,0,1,1,0,1
Slovenia,560.7725473,106.546784,0.000414525,0.024870971,0.009268903,0,0,0,0,0.151462244,0.19,Europe,0,1,1,0,1
Solomon Islands,433.2942838,129.9882851,0.000505726,2.473505411,0.39798131,0,0,0,0,0,0.3,Oceania,0,0,0,0,0
Somalia,69.63537532,20.8906126,8.13E-05,,3384.305839,0,0,0,0,1.674891235,0.3,Africa,0,0,0,0,0
South Africa,4166.15836,1166.524341,0.00453842,0.055727701,0.010703326,13877.62402,1471.364641,2324.426224,0.009043294,0.106024247,0.28,Africa,0,0,0,0,0
South Sudan,1.51724647,0.379311617,1.48E-06,0.006806385,,9.81792845,0.29026203,1.64444939,6.40E-06,0.029564488,0.25,Africa,0,0,0,0,0
Spain,26873.25538,6718.313846,0.026137929,0.061203185,0.03090207,12856.05858,1484.524843,2153.319592,0.008377595,0.115472781,0.25,Europe,0,1,1,0,1
Sri Lanka,669.4248884,160.6619732,0.000625063,0.095596473,0.024602,27.57227091,2.723324363,4.618204777,1.80E-05,0.098770405,0.24,Asia,0,0,0,0,0
Sudan,138.1542775,48.35399713,0.000188124,0.181436123,0.015348039,0,0,0,0,0.318875023,0.35,Africa,0,0,0,0,0
Suriname,7.438394102,2.677821877,1.04E-05,0.024931246,,0,0,0,0,0,0.36,Caribbean/American isl.,0,0,0,0,0
Sweden,16636.40751,3427.099948,0.0133333,0.055686863,0.019630476,10196.45549,1201.225788,1707.850602,0.006644476,0.117808173,0.206,Europe,0,1,1,0,1
Switzerland,10076.59378,1984.939438,0.007722504,0.058011994,0.024176253,67966.4525,5189.750938,11384.00956,0.044290047,0.076357537,0.19698516,Europe,0,0,1,0,1
Syrian Arab Republic,1.630736951,0.456606346,1.78E-06,,,0.347884167,0.016479541,0.058268698,2.27E-07,0.047370771,0.28,Asia,0,0,0,0,0
Tajikistan,0.736301287,0.169349296,6.59E-07,0.000976289,0.000183139,0,0,0,0,0.686209471,0.23,Asia,0,0,0,0,0
Tanzania,281.2863892,84.38591675,0.000328308,0.131390469,0.01100174,0,0,0,0,0.334941037,0.3,Africa,0,0,0,0,0
Thailand,5929.874352,1185.97487,0.004614093,0.064606302,0.016376732,0,0,0,0,0.171115563,0.2,Asia,0,0,0,0,0
Timor-Leste,2.120858524,0.212085852,8.25E-07,0.001874627,0.000387777,0,0,0,0,0.179008874,0.1,Asia,0,0,0,0,0
Togo,6.374266113,1.721051851,6.70E-06,0.037012902,0.001452606,0,0,0,0,0.340282346,0.27,Africa,0,0,0,0,0
Trinidad and Tobago,73.88935064,22.16680519,8.62E-05,0.027273549,0.005035371,0,0,0,0,0.258207836,0.3,Caribbean/American isl.,0,0,0,0,0
Tunisia,1096.398614,164.4597922,0.000639839,0.085347596,,0,0,0,0,0.253709141,0.15,Africa,0,0,0,0,0
