partner_jurisdiction,sum_negative_misalignment,sum_positive_misalignment,net_misalignment,tax_revenue,tax_revenue_pct_total,tax_revenue_pct_total,etr_average_corrected
Ireland,13572.939708889577,95227.13877390418,-81654.1990650146,-10206.774883126825,0.01037710529407594,0.01037710529407594,0.1010792897112204
Israel,558.860510658536,0.0,558.860510658536,128.53791745146327,0.01037710529407594,0.01037710529407594,0.1669877434736626
Italy,16057.343462583289,0.0,16057.343462583289,4465.547216944413,0.01037710529407594,0.01037710529407594,0.2360258488431147
Jamaica,449.6645555644604,170.7510272358885,278.9135283285719,69.72838208214297,0.01037710529407594,0.01037710529407594,4.454931746920233e-05
Jordan,323.70042505647507,674.3760785625789,-350.6756535061038,-70.13513070122076,0.01037710529407594,0.01037710529407594,0.038044948596717
Kazakhstan,830.8875120988341,0.0,830.8875120988341,166.17750241976682,0.01037710529407594,0.01037710529407594,0.3183211064886756
Kenya,545.1139266202476,0.0,545.1139266202476,136.2784816550619,0.01037710529407594,0.01037710529407594,0.4451294073458052
Korea,6846.719289650703,0.0,6846.719289650703,1882.8478046539435,0.01037710529407594,0.01037710529407594,0.1994822913378385
Kyrgyzstan,199.033701190705,3.1044767338579873,195.929224456847,19.592922445684703,0.01037710529407594,0.01037710529407594,0.1439835747694052
Lao People’s Democratic Republic,306.79184303907374,0.0,306.79184303907374,73.6300423293777,0.01037710529407594,0.01037710529407594,0.1512547463108048
Latvia,205.4036895593275,261.863600051095,-56.45991049176749,-11.291982098353499,0.01037710529407594,0.01037710529407594,0.0392911895901866
Lebanon,1668.3084090368466,0.0,1668.3084090368466,283.61242953626396,0.01037710529407594,0.01037710529407594,0.1814979137350936
Lesotho,0.8034454693699157,0.0,0.8034454693699157,0.20086136734247892,0.01037710529407594,0.01037710529407594,0.2441707032782445
Lithuania,355.84169033490326,1238.055922692783,-882.2142323578798,-132.33213485368196,0.01037710529407594,0.01037710529407594,0.0659738040676158
Luxembourg,92911.28095013557,25734.91263471449,67176.36831542107,16753.786257866017,0.01037710529407594,0.01037710529407594,0.0290574959027048
Macau (China),2211.954003372547,0.0,2211.954003372547,265.43448040470565,0.01037710529407594,0.01037710529407594,0.2421821637406255
Madagascar,35.468088107221234,44.41979640266865,-8.951708295447418,-1.7903416590894836,0.01037710529407594,0.01037710529407594,0.0401016615827368
Malawi,404.7330974901844,0.0,404.7330974901844,121.41992924705531,0.01037710529407594,0.01037710529407594,0.2086174914557855
Malaysia,4178.558718859743,0.0,4178.558718859743,1002.8540925263383,0.01037710529407594,0.01037710529407594,0.2161327141006699
Maldives,26.25653759415186,0.0,26.25653759415186,3.938480639122779,0.01037710529407594,0.01037710529407594,0.2612796387110692
Mali,126.8204751438483,0.0,126.8204751438483,38.04614254315449,0.01037710529407594,0.01037710529407594,0.8559073139004482
Malta,33665.815638007465,13564.725221977773,20101.090416029692,1005.0545208014826,0.01037710529407594,0.01037710529407594,0.0111773426516788
Marshall Islands,15.177608327697033,1153.6693789641947,-1138.4917706364977,-0.0,0.01037710529407594,0.01037710529407594,0.0010276781220819
Mauritius,1499.860368385202,12898.68939369562,-11398.829025310419,-1709.8243537965627,0.01037710529407594,0.01037710529407594,0.028855092736228
Mexico,25578.042435554104,0.0,25578.042435554104,7673.41273066623,0.01037710529407594,0.01037710529407594,0.5782618432150806
Micronesia,88.34917305292252,0.0,88.34917305292252,26.504751915876756,0.01037710529407594,0.01037710529407594,0.1552800903628705
