iso_partner,partner_jurisdiction,wb_income_group,main_commodity,pre_profit_payments_usd_m,post_profit_payments_usd_m,equity_income_usd_m,actual_resource_contribution_usd_m,resource_profit_base_usd_m,reported_profit_usd_m,reported_tax_usd_m,contribution_pct_profit,contribution_pct_gdp_per_yr,src_eiti_bilateral,src_grd_distributed,src_manual_distributed,src_rent_proxy,sanity_flag
Source country ISO3 code (where the resource is extracted),Source country name,World Bank income group (investment_hub = recognised tax haven),Dominant commodity in this country's resource-payment panel,"Royalties / production-sharing / fees deducted BEFORE CbCR profit, USD millions, 2016-2022 total (added back in the incl_resource view)","Resource corporate income tax / special taxes paid FROM profit, USD millions, 2016-2022 total","State-owned-enterprise / state-participation income, USD millions, 2016-2022 total","Total state take = pre-profit + post-profit + equity, USD millions, 2016-2022 total","Profit pool removed from the country in the excl_resource view, USD millions, 2016-2022 total","Country's reported profit before income tax (for scale), USD millions, 2016-2022 total","Country's reported corporate income tax paid (for scale), USD millions, 2016-2022 total",Total state take as a percentage of the country's absolute reported profit,Annual state take as a percentage of GDP (total take / 7 years / mean annual GDP),Share of the total state take sourced from eiti_bilateral,Share of the total state take sourced from grd_distributed,Share of the total state take sourced from manual_distributed,Share of the total state take sourced from rent-proxy estimate,Plausibility flags: ok / no_resource_correction / >50%GDP-per-yr check / mostly_rent_proxy (estimated) / negative_component check
TGO,Togo,low_income,minerals,15.44020003,26.303630740000003,3.6727683300000002,45.4165991,45.771097726789286,1994.418584917487,268.1314181070668,2.2771849121070527,0.09012553623160918,1.0,0.0,0.0,0.0,ok
MNE,Montenegro,upper_middle_income,minerals,23.69876140067167,18.109579165169443,3.4656073470824973,45.27394791292361,198.09113877595715,-2848.270411433105,498.780981129868,1.5895242155095823,0.12188846023998225,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
LKA,Sri Lanka,lower_middle_income,minerals,20.914446994009815,16.73155759520785,4.182889398801962,41.82889398801963,55.530539348713354,2681.9610426850136,1058.6311557004792,1.5596383885629868,0.00682526716371321,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
UGA,Uganda,low_income,oil_gas,18.654171777036904,20.60600125,1.463199064691269,40.72337209172817,70.14986989802459,6041.250501941582,679.9590471760716,0.6740884536842198,0.016164940906101977,0.8320691404129773,0.1679308595870227,0.0,0.0,ok
SLE,Sierra Leone,low_income,minerals,35.176918979999996,1.43750552,0.0,36.6144245,5.75002208,-1851.8591581894048,262.6732644597772,1.977171122225006,0.0800445195040263,1.0,0.0,0.0,0.0,ok
SGP,Singapore,investment_hub,oil_gas,12.448981350978617,8.299320900652411,6.916100750543676,27.664403002174705,48.81953470972006,848237.9959597572,81335.94605015815,0.0032613963455944014,0.0010203068892533495,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
STP,Sao Tome and Principe,lower_middle_income,oil_gas,11.72487,0.0,11.98431949,23.70918949,11.98431949,-139.82542311290283,0.0,16.956279453455245,0.7290026605831579,1.0,0.0,0.0,0.0,ok
MDA,Moldova,upper_middle_income,oil_gas,9.411187128358812,6.2741247522392065,5.228437293532672,20.91374917413069,41.02022214045861,1600.7317571257522,259.8329018013198,1.3065117925618641,0.026066455402601933,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
VIR,United States Virgin Islands,high_income,coal,6.28082554451739,4.567873123285374,0.5709841404106718,11.419682808213437,14.218871876691622,1334.972513441851,72.49418645088228,0.8554245644182588,0.039318560832576226,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
BLZ,Belize,upper_middle_income,oil_gas,4.872817309635711,3.2485448730904736,2.707120727575395,10.82848291030158,19.62023539210556,624.393172056607,109.91931951901608,1.7342410831680068,0.06563452817619903,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
BRB,Barbados,investment_hub,oil_gas,3.8739087573028677,2.5826058382019115,2.1521715318349264,8.608686127339706,33.31940292686006,73137.2326220796,768.9847576832386,0.011770593196796467,0.0220921364067394,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
SOM,Somalia,low_income,oil_gas,7.814169738955476,0.0,0.0,7.814169738955476,0.0,-198.94660140391812,2.3175589314885743,3.9277724192385133,0.012263429112448819,0.0,0.0,1.0,0.0,ok
CYP,Cyprus,investment_hub,minerals,0.6791940539317716,0.5433552431454173,0.13583881078635432,1.3583881078635431,4.34445912339472,190863.99227341652,4224.012265364713,0.0007117047546179506,0.0007430722453479702,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
MUS,Mauritius,investment_hub,oil_gas,0.15955091431948967,0.10636727621299312,0.08863939684416093,0.3545575873766437,0.7091151747532874,53777.17082035429,4296.058141984665,0.000659308740061956,0.00038842886568963273,0.0,0.0,0.0,1.0,mostly_rent_proxy(estimated)
IOT,British Indian Ocean Territory,investment_hub,,0.0,0.0,0.0,0.0,0.0,24.769533582703552,0.45482941980261077,0.0,0.0,,,,,no_resource_correction
IMN,Isle of Man,investment_hub,,0.0,0.0,0.0,0.0,0.0,61285.067365982926,425.7715627561769,0.0,0.0,,,,,no_resource_correction
HKG,Hong Kong (China),investment_hub,,0.0,0.0,0.0,0.0,0.0,864534.2903310655,98783.74819945615,0.0,0.0,,,,,no_resource_correction
HTI,Haiti,lower_middle_income,,0.0,0.0,0.0,0.0,0.0,6.55486639831889,0.045932558429635166,0.0,0.0,,,,,no_resource_correction
GUM,Guam,high_income,,0.0,0.0,0.0,0.0,0.0,331.7289481035813,171.54977859524362,0.0,0.0,,,,,no_resource_correction
GUF,French Guiana,high_income,,0.0,0.0,0.0,0.0,0.0,16.653963839555832,3.313815564367544,0.0,0.0,,,,,no_resource_correction
GRD,Grenada,upper_middle_income,,0.0,0.0,0.0,0.0,0.0,1.4068030339399584,0.2609794793040884,0.0,0.0,,,,,no_resource_correction
FRO,Faroe Islands,high_income,,0.0,0.0,0.0,0.0,0.0,189.2307570984122,6.948701528730306,0.0,0.0,,,,,no_resource_correction
GIB,Gibraltar,investment_hub,,0.0,0.0,0.0,0.0,0.0,173107.19932883975,119.1956951153504,0.0,0.0,,,,,no_resource_correction
GGY,Bailiwick of Guernsey,investment_hub,,0.0,0.0,0.0,0.0,0.0,-8347.1567021666,563.7810918323355,0.0,0.0,,,,,no_resource_correction
FSM,Micronesia,lower_middle_income,,0.0,0.0,0.0,0.0,0.0,5238.214597047241,730.9217654397695,0.0,0.0,,,,,no_resource_correction
GLP,Guadeloupe,high_income,,0.0,0.0,0.0,0.0,0.0,-42.6600303667886,2.3304184704394593,0.0,0.0,,,,,no_resource_correction
GNB,Guinea-Bissau,low_income,,0.0,0.0,0.0,0.0,0.0,-1.5988483866116612,-1.0667258148519334,0.0,0.0,,,,,no_resource_correction
GMB,Gambia,low_income,,0.0,0.0,0.0,0.0,0.0,320.05060032127386,184.72639705548244,0.0,0.0,,,,,no_resource_correction
GRL,Greenland,high_income,,0.0,0.0,0.0,0.0,0.0,426.1678075856127,48.788478941336294,0.0,0.0,,,,,no_resource_correction
FLK,Falkland Islands (Malvinas),high_income,,0.0,0.0,0.0,0.0,0.0,4.606711352316878,0.49344561309119633,0.0,0.0,,,,,no_resource_correction
CYM,Cayman Islands,investment_hub,,0.0,0.0,0.0,0.0,0.0,380114.0625146864,5846.345517388828,0.0,0.0,,,,,no_resource_correction
CUW,Curaçao,investment_hub,,0.0,0.0,0.0,0.0,0.0,9938.715453478775,129.44216531032595,0.0,0.0,,,,,no_resource_correction
COM,Comoros,lower_middle_income,,0.0,0.0,0.0,0.0,0.0,3.404284297142312,1.8397217041940481,0.0,0.0,,,,,no_resource_correction
COK,Cook Islands,investment_hub,,0.0,0.0,0.0,0.0,0.0,-754.0564084339206,0.025403,0.0,0.0,,,,,no_resource_correction
DJI,Djibouti,lower_middle_income,,0.0,0.0,0.0,0.0,0.0,612.4339776763082,22.382178250645026,0.0,0.0,,,,,no_resource_correction
DMA,Dominica,upper_middle_income,,0.0,0.0,0.0,0.0,0.0,2.7275767649708587,0.5037709408432846,0.0,0.0,,,,,no_resource_correction
BMU,Bermuda,investment_hub,,0.0,0.0,0.0,0.0,0.0,272749.11636085116,5588.989017970934,0.0,0.0,,,,,no_resource_correction
BHS,Bahamas,investment_hub,,0.0,0.0,0.0,0.0,0.0,107824.23700413197,713.1697973899272,0.0,,,,,,no_resource_correction
ATG,Antigua and Barbuda,high_income,,0.0,0.0,0.0,0.0,0.0,7.218581728166314,0.054977393742981495,0.0,0.0,,,,,no_resource_correction
ABW,Aruba,investment_hub,,0.0,0.0,0.0,0.0,0.0,1208.4203769676417,103.62141885540144,0.0,0.0,,,,,no_resource_correction
AND,Andorra,high_income,,0.0,0.0,0.0,0.0,0.0,-8562.042315875562,21.148159777301174,0.0,0.0,,,,,no_resource_correction
ASM,American Samoa,high_income,,0.0,0.0,0.0,0.0,0.0,190142.15229464907,20290.085733309523,0.0,0.0,,,,,no_resource_correction
AIA,Anguilla,investment_hub,,0.0,0.0,0.0,0.0,0.0,658.7380064533735,0.0,0.0,0.0,,,,,no_resource_correction
KIR,Kiribati,lower_middle_income,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,no_resource_correction
ISL,Iceland,high_income,,0.0,0.0,0.0,0.0,0.0,-6576.3323638329875,492.79372189832486,0.0,0.0,,,,,no_resource_correction
MCO,Monaco,high_income,,0.0,0.0,0.0,0.0,0.0,6378.0009948930865,711.6142674628551,0.0,0.0,,,,,no_resource_correction
PLW,Palau,high_income,,0.0,0.0,0.0,0.0,0.0,26.73400971272568,0.0,0.0,0.0,,,,,no_resource_correction
NRU,Nauru,high_income,,0.0,0.0,0.0,0.0,0.0,5.513709824882393,0.0,0.0,0.0,,,,,no_resource_correction
MNP,Northern Mariana Islands,high_income,,0.0,0.0,0.0,0.0,0.0,-1654.1219809043218,3.9162165814363297,0.0,0.0,,,,,no_resource_correction
MDV,Maldives,upper_middle_income,,0.0,0.0,0.0,0.0,0.0,4742.188056570334,1305.2996010046168,0.0,0.0,,,,,no_resource_correction
MLT,Malta,investment_hub,,0.0,0.0,0.0,0.0,0.0,56937.68533354142,7744.6653012468905,0.0,0.0,,,,,no_resource_correction
MHL,Marshall Islands,upper_middle_income,,0.0,0.0,0.0,0.0,0.0,39966.849488698455,66.88606132397713,0.0,0.0,,,,,no_resource_correction
MTQ,Martinique,high_income,,0.0,0.0,0.0,0.0,0.0,1.6714933716782394,-0.42196365019889276,0.0,0.0,,,,,no_resource_correction
JEY,Jersey,investment_hub,,0.0,0.0,0.0,0.0,0.0,23349.525128884798,1287.3680765740025,0.0,0.0,,,,,no_resource_correction
KNA,Saint Kitts and Nevis,high_income,,0.0,0.0,0.0,0.0,0.0,777.8695841621145,52.68328347795587,0.0,0.0,,,,,no_resource_correction
LIE,Liechtenstein,investment_hub,,0.0,0.0,0.0,0.0,0.0,7674.065769064596,505.0408925128032,0.0,0.0,,,,,no_resource_correction
LBN,Lebanon,lower_middle_income,,0.0,0.0,0.0,0.0,0.0,-1294.2241302699053,382.9946659318471,0.0,0.0,,,,,no_resource_correction
LCA,Saint Lucia,upper_middle_income,,0.0,0.0,0.0,0.0,0.0,470.03490087060567,13.669294030674239,0.0,0.0,,,,,no_resource_correction
MAF,Saint Martin,high_income,,0.0,0.0,0.0,0.0,0.0,-16.374948682569396,0.0,0.0,0.0,,,,,no_resource_correction
MAC,Macau (China),high_income,,0.0,0.0,0.0,0.0,0.0,56018.54525903105,16142.802864164438,0.0,0.0,,,,,no_resource_correction
LUX,Luxembourg,investment_hub,,0.0,0.0,0.0,0.0,0.0,-61293.715372980776,21913.760577280325,0.0,0.0,,,,,no_resource_correction
REU,Réunion,high_income,,0.0,0.0,0.0,0.0,0.0,26.185660240971472,7.728213318884697,0.0,0.0,,,,,no_resource_correction
SYC,Seychelles,investment_hub,,0.0,0.0,0.0,0.0,0.0,7008.12009004232,38.05572312302444,0.0,0.0,,,,,no_resource_correction
SXM,Sint Maarten,high_income,,0.0,0.0,0.0,0.0,0.0,-8.936071803871148,0.0,0.0,0.0,,,,,no_resource_correction
SMR,San Marino,high_income,,0.0,0.0,0.0,0.0,0.0,39.1099465460527,3.2002931483715806,0.0,0.0,,,,,no_resource_correction
PRK,Democratic People’s Republic of Korea,low_income,,0.0,0.0,0.0,0.0,0.0,590.3201748195573,80.868243562954,0.0,0.0,,,,,no_resource_correction
PYF,French Polynesia,high_income,,0.0,0.0,0.0,0.0,0.0,5425.175048202408,618.4366270200675,0.0,0.0,,,,,no_resource_correction
PSE,Palestinian Authority or West Bank and Gaza Strip,lower_middle_income,,0.0,0.0,0.0,0.0,0.0,-2.5464733426571664,0.1377006565338176,0.0,0.0,,,,,no_resource_correction
PRI,Puerto Rico,investment_hub,,0.0,0.0,0.0,0.0,0.0,271351.31858765916,5959.054072653899,0.0,0.0,,,,,no_resource_correction
TCA,Turks and Caicos Islands,high_income,,0.0,0.0,0.0,0.0,0.0,-7726.780183027715,0.0,0.0,0.0,,,,,no_resource_correction
TWN,Chinese Taipei,high_income,,0.0,0.0,0.0,0.0,0.0,156324.80969208444,28176.185732975686,0.0,0.0,,,,,no_resource_correction
TON,Tonga,upper_middle_income,,0.0,0.0,0.0,0.0,0.0,0.41242876556900265,0.060397144473811185,0.0,0.0,,,,,no_resource_correction
VGB,British Virgin Islands,investment_hub,,0.0,0.0,0.0,0.0,0.0,283346.89281884563,3739.8893918475605,0.0,0.0,,,,,no_resource_correction
VCT,Saint Vincent and the Grenadines,upper_middle_income,,0.0,0.0,0.0,0.0,0.0,10513.621399594105,830.7338586527796,0.0,0.0,,,,,no_resource_correction
XKV,Kosovo,lower_middle_income,,0.0,0.0,0.0,0.0,0.0,8311.355169057337,842.0081512394023,0.0,0.0,,,,,no_resource_correction
WSM,Samoa,upper_middle_income,,0.0,0.0,0.0,0.0,0.0,5004.803769578238,211.32836938788012,0.0,0.0,,,,,no_resource_correction
WLF,Wallis and Futuna,high_income,,0.0,0.0,0.0,0.0,0.0,11.299072132326165,0.0,0.0,0.0,,,,,no_resource_correction
VUT,Vanuatu,lower_middle_income,,0.0,0.0,0.0,0.0,0.0,-2991.5455698173414,1.3771053111568021,0.0,0.0,,,,,no_resource_correction
