ISO3,employees + payroll,CCCTB,Three-factor,Double-weighted sales,Sales + employees,# formulas with a loss,loses under ALL formulas,worst loss (any formula),Country,Income group,Region
ESP,46445.5,45575.3,41430.2,49241.2,53026.2,0,False,41430.2,Spain,high_income,Europe
EST,674.4,866.9,910.5,1111.9,1256.7,0,False,674.4,Estonia,investment_hub,Europe
ETH,788.5,1868.9,2204.7,2895.3,3381.2,0,False,788.5,Ethiopia,low_income,Africa
FIN,13036.8,8754.2,5682.2,7796.8,8931.8,0,False,5682.2,Finland,high_income,Europe
FJI,47.3,32.1,66.6,62.2,99.7,0,False,32.1,Fiji,upper_middle_income,Oceania
FLK,2.9,0.8,0.0,-0.1,0.1,1,False,-0.1,Falkland Islands (Malvinas),high_income,Caribbean/American isl.
FRA,99613.6,156219.3,152408.1,188126.7,190852.9,0,False,99613.6,France,high_income,Europe
FRO,3.0,1.2,0.5,-0.5,-1.4,2,False,-1.4,Faroe Islands,high_income,Europe
FSM,-247.0,-246.2,-245.7,-246.3,-246.7,5,True,-247.0,Micronesia,lower_middle_income,Oceania
GAB,-829.5,-242.6,-197.2,-213.0,-476.5,5,True,-829.5,Gabon,upper_middle_income,Africa
GBR,48329.7,73278.2,68535.8,88549.2,91210.2,0,False,48329.7,United Kingdom,high_income,Europe
GEO,397.9,293.3,379.9,399.5,555.1,0,False,293.3,Georgia,upper_middle_income,Asia
GGY,-80.9,-82.2,-85.4,-86.0,-88.9,5,True,-88.9,Bailiwick of Guernsey,investment_hub,Europe
GHA,-421.8,1853.3,2134.0,2651.6,2269.9,1,False,-421.8,Ghana,lower_middle_income,Africa
GIB,-539.0,-538.7,-538.7,-538.6,-538.7,5,True,-539.0,Gibraltar,investment_hub,Europe
GIN,-51.4,28.2,49.2,70.4,78.8,1,False,-51.4,Guinea,lower_middle_income,Africa
GLP,14.4,10.2,8.5,9.1,10.0,0,False,8.5,Guadeloupe,high_income,Caribbean/American isl.
GMB,34.4,11.4,23.8,18.4,37.0,0,False,11.4,Gambia,low_income,Africa
GNB,1.6,1.5,1.8,1.8,2.1,0,False,1.5,Guinea-Bissau,low_income,Africa
GNQ,-218.3,-124.5,-120.3,-85.1,-94.5,5,True,-218.3,Equatorial Guinea,upper_middle_income,Africa
GRC,480.7,3010.0,3426.8,4512.4,4737.7,0,False,480.7,Greece,high_income,Europe
GRD,0.3,0.5,0.5,0.6,0.6,0,False,0.3,Grenada,upper_middle_income,Caribbean/American isl.
GRL,34.1,-1.0,-6.4,-13.2,-8.5,4,False,-13.2,Greenland,high_income,Northern America
GTM,963.4,998.9,1494.6,1702.3,2383.6,0,False,963.4,Guatemala,upper_middle_income,Latin America
GUF,-1.3,-1.4,-1.4,-1.3,-1.3,5,True,-1.4,French Guiana,high_income,Caribbean/American isl.
GUM,177.5,122.1,131.3,120.1,147.3,0,False,120.1,Guam,high_income,Oceania
