iso_partner,negative_misalignment,positive_misalignment,theoretical_profit,reported_profit,partner_jurisdiction,etr_average_corrected,cit,tax_revenue_current_usd,gvt_health_expenditure,region_tjn,ukt,oecd,oecd_oct,nld_oct,tax_revenue_loss,tax_revenue_gain,tax_revenue_loss_pct_of_gvt_health_expenditure,tax_revenue_loss_pct_of_total_tax_revenues,tax_revenue_loss_caused_pct_of_total,tax_revenue_loss_caused_usd,tax_revenue_loss_suffered_pct_of_total
CRI,426.4659446169494,106.91776138252182,1429.8665885283465,1049.3965794166952,Costa Rica,0.1154116510865836,0.3,7950735102.89171,3157312042.2999997,Latin America,0.0,0.0,0.0,0.0,127.93978338508481,12.33955537163821,0.04052174180790975,0.016091566594710553,0.0002014976934799329,29.703430649145652,0.0008678987811516754
CUW,-0.0,173.85204154508733,6.128750698575782,179.9807922436631,Curaçao,0.0126221256597251,0.22,,,Caribbean/American isl.,0.0,0.0,1.0,1.0,-0.0,2.194382314581841,,,0.000327642338608103,48.29882324950236,-0.0
CYM,317.0793908367584,24986.852513615544,977.7503584162365,24861.287465891004,Cayman Islands,0.0035551776977262,0.0,,,Caribbean/American isl.,1.0,0.0,1.0,0.0,0.0,88.83270079277982,,,0.047090334512370824,6941.739437690275,0.0
CYP,8.219116576058228,2307.602029659751,71.52768429799573,2359.4703087510225,Cyprus,0.0342052495917536,0.125,4949295888.735005,588050884.96,Europe,0.0,0.0,0.0,0.0,1.0273895720072785,78.93210338294898,0.0017471099836490558,0.00020758297646857198,0.004348917153086435,641.088028476354,6.969451828984488e-06
CZE,782.0925375212132,1600.1678912307618,4758.176245114544,5396.761784356669,Czechia,0.139250955117997,0.19,29269616979.57274,12262235420.27,Europe,0.0,1.0,0.0,0.0,148.5975821290305,222.82490720303474,0.01211831097969236,0.005076854344651546,0.0030156835973218885,444.5517318129384,0.0010080340688376262
DEU,14356.9587760466,4027.299874479814,84598.52692985276,33558.69018113116,Germany,0.1396065356531662,0.29818844,391958819786.07745,301571477784.36993,Europe,0.0,1.0,0.0,0.0,4281.079140573645,562.2373835125579,0.014195901986575495,0.010922267657888562,0.0075898674379873705,1118.8470557005094,0.029041344840598553
DNK,267.5654822913108,11974.045234647934,8275.301075946429,19832.350258905353,Denmark,0.1106398142550387,0.22,104252134906.56392,27021853615.780003,Europe,0.0,1.0,0.0,0.0,58.864406104088374,1324.8061406428787,0.002178400006937837,0.0005646350183317172,0.022566339448258962,3326.577526671265,0.00039931556048664854
DOM,78.99973162701387,0.0,704.2396436206035,959.6093344293856,Dominican Republic,0.1663562981006439,0.27,9774127573.724518,2017275935.4900005,Latin America,0.0,0.0,0.0,0.0,21.329927539293745,0.0,0.010573629102511781,0.0021822845444164577,0.0,0.0,0.00014469477455411064
DZA,-0.0,449.822385382061,963.201511983516,3688.655893977121,Algeria,0.2862677390554765,0.26,,7127911290.789998,Africa,0.0,0.0,0.0,0.0,-0.0,128.7696372398638,-0.0,,0.0008477372885300953,124.96771215426446,-0.0
ECU,215.22025440510663,0.0,808.4403242797956,843.5185762646382,Ecuador,0.4273883260838671,0.22,14203155777.428411,4498681000.0,Latin America,0.0,0.0,0.0,0.0,47.34845596912346,0.0,0.010524964088167945,0.0033336574428317824,0.0,0.0,0.0003211953790896187
EGY,1185.6219820317115,0.0,1307.768276567809,-116.67240036273692,Egypt,0.3306372805195423,0.225,,4474543624.5,Africa,0.0,0.0,0.0,0.0,266.76494595713507,0.0,0.05961835850621397,,0.0,0.0,0.001809640170745992
