iso3,year,fuel,production,unit,source
SEN,2016,crude_oil_lease_condensate,-0.0241,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SGP,2016,crude_oil_lease_condensate,31.6106,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SHN,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SLB,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SLE,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SLV,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SOM,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SPM,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SRB,2016,crude_oil_lease_condensate,22.6169,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SSD,2016,crude_oil_lease_condensate,152.45901639344262,thousand_barrels_per_day,EIA_INTL_v2:productId=53
STP,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SUR,2016,crude_oil_lease_condensate,15.55,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SVK,2016,crude_oil_lease_condensate,11.8556,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SVN,2016,crude_oil_lease_condensate,0.005,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SWE,2016,crude_oil_lease_condensate,12.5772,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SWZ,2016,crude_oil_lease_condensate,0.775,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SYC,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
SYR,2016,crude_oil_lease_condensate,23.648497267759563,thousand_barrels_per_day,EIA_INTL_v2:productId=53
TCA,2016,crude_oil_lease_condensate,0.0,thousand_barrels_per_day,EIA_INTL_v2:productId=53
