country_name,iso3,cthi_2019_value,cthi_2021_value,cthi_2024_value,cthi_2019_gsw,cthi_2021_gsw,cthi_2024_gsw,cthi_2019_score,cthi_2021_score,cthi_2024_score,cthi_2019_rank,cthi_2021_rank,cthi_2024_rank,cthi_2019_share,cthi_2021_share,cthi_2024_share,fsi_2011_gsw,fsi_2013_gsw,fsi_2015_gsw,fsi_2018_gsw,fsi_2020_gsw,fsi_2022_gsw,fsi_2025_gsw,fsi_2011_rank,fsi_2013_rank,fsi_2015_rank,fsi_2018_rank,fsi_2020_rank,fsi_2022_rank,fsi_2025_rank,fsi_2011_score,fsi_2013_score,fsi_2015_score,fsi_2018_score,fsi_2020_score,fsi_2022_score,fsi_2025_score,fsi_2025_share,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,fsi_2025_value
Brunei,BRN,,,,4.05321353209e-05,4.2368440891e-05,,,,,,,,,,,4.55e-07,6.15e-05,5.84e-05,3e-06,3.75e-07,3.72489466826664e-07,6.049618832e-07,64.0,73.0,80.0,91.0,125.0,136.0,132.0,84.13,84.13,82.78,84.05,78.3,73.3,71.54012068965518,0.0008688361555449,45.79904958,50.63406,47.41675,85.59808,34.61833041,28.3367424360271,30.966468217126245
Bulgaria,BGR,143.7053743559738,168.9053316380334,158.10916493624555,0.0005874360980954,0.0006119963801621,0.0007351374283498,55.56850479228572,58.37707867180929,55.95432,45.0,48.0,50.0,0.0037831922545425,0.0038164213640675,0.0036870861357898,,,,0.0001898,0.00010767,0.0002258916501887,0.000246760318987,,,,89.0,115.0,106.0,105.0,,,,54.175,49.45,52.775,50.4505,0.0022597882236686,,,,91.38212,57.52600889,89.5195970426802,80.54183721415212
Burkina Faso,BFA,,,,4.16992913413e-05,5.2385971748e-05,,,,,,,,,,,,,,6.29e-07,0.000152479,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,,,,6.658341419e-07,2.6691365942e-06,,,,,,,,,,,,,,4.39e-06,1.48e-06,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,,,,9.69873410711e-05,0.0003541214440523,,,,,,,,,,,,,,7.34e-05,2.85e-05,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,,,,2.29542737075e-05,2.91957296429e-05,,,,,,,,,,,,,,6.05e-05,0.000247422,6.56362317386e-05,4.94335035909e-05,,,,,53.0,81.0,94.0,,,,,71.475,70.25,64.64349999999999,0.0027815994633707,,,,,229.2318944,139.847121712536,99.1398790502872
Canada,CAN,,,,0.0238760819555985,0.025291494589012,,,,,,,,,,,0.0086798,2.0076,1.785307,0.0174696,0.015966427,0.0176911614835262,0.0172580257058144,24.0,17.0,29.0,21.0,19.0,28.0,18.0,56.27,53.6,45.84,54.75,55.8375,51.15,58.0825,0.0142073304848954,366.1569807,418.5234,251.7512,425.8399,438.3763735,348.703010135141,506.36802474543794
Cape Verde,CPV,,,,1.54988938029e-05,1.62643819399e-05,,,,,,,,,,,,,,4.55e-06,2.18e-06,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,2534.05652821302,2652.729224814842,2891.1516155676454,0.0162722982577145,0.018667182181027,0.0241664357249885,100.0,100.0,100.0,3.0,2.0,2.0,0.0667116527344404,0.0599385015765242,0.0674212974467629,0.0462181,4.69371,4.857429,0.0378563,0.045795109,0.0024506628978997,0.0020231243688613,2.0,4.0,5.0,3.0,1.0,14.0,19.0,77.13,69.93,65.24,72.275,76.075,72.625,73.31394827586206,0.0139834251670368,1646.67297,1233.567,1013.158,1267.682,1575.187467,516.439709453182,498.3877434635596
Central African Republic,CAF,,,,8.259148512e-07,3.2026866453e-06,,,,,,,,,,,,,,5.34e-07,1.7e-07,,,,,,,,,,,,,,,,,,,,,,,,
Chad,TCD,,,,2.0505936018e-06,5.2710253832e-06,,,,,,,,,,,,,,8.71e-10,2.81e-09,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,,0.0034824298387408,0.0035984774988795,,,,,,,,,,,,,0.1201913,0.0003756,0.000471381,0.0004294379905331,0.0004345997876953,,,42.0,60.0,82.0,73.0,59.0,,,53.92,61.6,55.7875,59.775,65.7731551724138,0.0060472149523508,,,166.6763,168.6416,135.1246845,161.135874986073,215.53072858328312
