"year","cou","own","isic","GO","flag_go","GVA","flag_gva","EXGR","flag_exgr","IMGR","flag_imgr"
2008,"AUS","F","H50",1794.679990545,"e,a",719.924813443,"e,a",285.150903970293,"e",352.944524133,"e"
2008,"AUS","F","H51",2489.520343019,"e,a",538.40717035,"e,a",917.008179000965,"e",1408.770865826,"e"
2008,"AUS","F","H52",8734.484682159,"e,a",3713.222478017,"e,a",462.63794767146,"e",1156.876799409,"e"
2008,"AUS","F","H53",582.81034274,"e,a",208.240722736,"e,a",98.1716499932757,"e",149.211046002,"e"
2008,"AUS","F","I55T56",4502.251192282,"e,a",1944.482021066,"e,a",864.439252125917,"e",317.117903209,"e"
2008,"AUS","F","J58T60",4222.779247549,"e,a",2187.070440129,"e,a",218.972362707858,"e",221.067760105,"e"
2008,"AUS","F","J61",2577.419045839,"e",1056.419395923,"e,a",100.43396142102,"e",162.468229702,"e"
2008,"AUS","F","J62T63",6307.697827669,"e,a",3523.21980309,"e,a",227.610362086908,"e",294.494293564,"e"
2008,"AUS","F","K64T66",36528.648625149,"e,a",22462.941064698,"e",672.334147866703,"e",615.373903566,"e"
2008,"AUS","F","L68",7178.182693231,"e,a",4282.634247329,"e,a",70.7531631288829,"e",126.266499891,"e"
2008,"AUS","F","M69T75",18618.36949526,"e,a",8031.177486745,"e,a",1053.22897933591,"e",1007.757518516,"e"
2008,"AUS","F","N77T82",11420.731138186,"e,a",8578.831290041,"e,a",723.44663930171,"e",335.815527499,"e"
2008,"AUS","F","O84",0,"",0,"",0,"",0,""
2008,"AUS","F","P85",444.969846469,"e,a",319.212244243,"e",39.3301712017793,"e",13.465419877,"e"
2008,"AUS","F","Q86T88",485.280116143,"e,a",334.877432337,"e",2.19561103061981,"e",26.607274264,"e"
2008,"AUS","F","R90T93",2001.93021346,"e,a",830.9302115,"e",87.0671191990314,"e",135.084435098,"e"
2008,"AUS","F","S94T96",846.860088059,"e,a",470.631797471,"e",13.949612103602,"e",53.420351297,"e"
2008,"AUS","F","T97T98",0,"",0,"",0,"",0,""
