Country or Area,SNA93 Table Code,Sub Group,Item,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Value Footnotes
Andorra,3.2,Individual consumption expenditure of general government,Housing,14.1,2020,1100,Euro,2008,Western calendar year,3473326.819,3
Andorra,3.2,Individual consumption expenditure of general government,Health,14.2,2020,1100,Euro,2008,Western calendar year,190304765.6,3
Andorra,3.2,Individual consumption expenditure of general government,Recreation and culture,14.3,2020,1100,Euro,2008,Western calendar year,37372299.85,3
Andorra,3.2,Individual consumption expenditure of general government,Education,14.4,2020,1100,Euro,2008,Western calendar year,75759925.64,3
Andorra,3.2,Individual consumption expenditure of general government,Social protection,14.5,2020,1100,Euro,2008,Western calendar year,236032156.6,3
Andorra,3.2,Individual consumption expenditure of general government,Equals: Individual consumption expenditure of general government,P.31/14,2020,1100,Euro,2008,Western calendar year,542942474.5,3
Andorra,3.2,,Equals: Total actual individual consumption,P.41,2020,1100,Euro,2008,Western calendar year,1786842000,
Andorra,3.2,Individual consumption expenditure of households,Food and non-alcoholic beverages,1,2019,1100,Euro,2008,Western calendar year,216836114,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Alcoholic beverages, tobacco and narcotics",2,2019,1100,Euro,2008,Western calendar year,14154768,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Clothing and footwear,3,2019,1100,Euro,2008,Western calendar year,65833410,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Housing, water, electricity, gas and other fuels",4,2019,1100,Euro,2008,Western calendar year,444239604.1,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Furnishings, household equipment and routine maintenance of the house",5,2019,1100,Euro,2008,Western calendar year,50145217,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Health,6,2019,1100,Euro,2008,Western calendar year,26275762,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Transport,7,2019,1100,Euro,2008,Western calendar year,180554825,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Communication,8,2019,1100,Euro,2008,Western calendar year,45087752,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Recreation and culture,9,2019,1100,Euro,2008,Western calendar year,69740131,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Education,10,2019,1100,Euro,2008,Western calendar year,16311339.6,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Restaurants and hotels,11,2019,1100,Euro,2008,Western calendar year,72138146,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Miscellaneous goods and services,12,2019,1100,Euro,2008,Western calendar year,134322394,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure in domestic market,P.31,2019,1100,Euro,2008,Western calendar year,1163773187,3
Andorra,3.2,Individual consumption expenditure of households,Plus: Direct purchases abroad by residents,,2019,1100,Euro,2008,Western calendar year,171866275.5,3
Andorra,3.2,Individual consumption expenditure of households,Equals: Household final consumption expenditure,P.31,2019,1100,Euro,2008,Western calendar year,1335639463,"3,4"
Andorra,3.2,Individual consumption expenditure of general government,Housing,14.1,2019,1100,Euro,2008,Western calendar year,3864856.876,3
Andorra,3.2,Individual consumption expenditure of general government,Health,14.2,2019,1100,Euro,2008,Western calendar year,175888226.9,3
Andorra,3.2,Individual consumption expenditure of general government,Recreation and culture,14.3,2019,1100,Euro,2008,Western calendar year,41578202.34,3
Andorra,3.2,Individual consumption expenditure of general government,Education,14.4,2019,1100,Euro,2008,Western calendar year,78184406.99,3
Andorra,3.2,Individual consumption expenditure of general government,Social protection,14.5,2019,1100,Euro,2008,Western calendar year,211652231.1,3
Andorra,3.2,Individual consumption expenditure of general government,Equals: Individual consumption expenditure of general government,P.31/14,2019,1100,Euro,2008,Western calendar year,511167924.2,3
Andorra,3.2,,Equals: Total actual individual consumption,P.41,2019,1100,Euro,2008,Western calendar year,1846808000,
Andorra,3.2,Individual consumption expenditure of households,Food and non-alcoholic beverages,1,2018,1100,Euro,2008,Western calendar year,207617000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Alcoholic beverages, tobacco and narcotics",2,2018,1100,Euro,2008,Western calendar year,14738000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Clothing and footwear,3,2018,1100,Euro,2008,Western calendar year,69209000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Housing, water, electricity, gas and other fuels",4,2018,1100,Euro,2008,Western calendar year,428664805.2,"2,3"
Andorra,3.2,Individual consumption expenditure of households,"Furnishings, household equipment and routine maintenance of the house",5,2018,1100,Euro,2008,Western calendar year,48400000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Health,6,2018,1100,Euro,2008,Western calendar year,24831000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Transport,7,2018,1100,Euro,2008,Western calendar year,172070000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Communication,8,2018,1100,Euro,2008,Western calendar year,43805000,"2,3"
Andorra,3.2,Individual consumption expenditure of households,Recreation and culture,9,2018,1100,Euro,2008,Western calendar year,66729000,"2,3"
