year,cou,own,isic,GO,flag_go,GVA,flag_gva,EXP,flag_exgr,IMP,flag_imgr
2000,AUS,F,C24,4005.927287,a,1130.440749,e,2658.184577,e,527.6158165,e
2000,AUS,F,C25,2043.302076,a,776.1471785,e,227.9675528,e,239.8667151,e
2000,AUS,F,C26,3149.5165,a,1591.326778,e,386.5326027,e,540.8735455,e
2000,AUS,F,C27,1642.938377,a,617.2592238,e,239.6329502,e,271.6645578,e
2000,AUS,F,C28,3257.893709,a,1402.324164,e,529.3953645,e,516.3739098,e
2000,AUS,F,C29,8005.8837,a,2096.501094,e,1038.82566,e,1861.246686,e
2000,AUS,F,C30,1524.494088,a,560.5394258,e,318.642307,e,324.3737839,e
2000,AUS,F,C31T33,864.8976381,a,345.6979629,e,114.1708485,e,153.8965209,e
2000,AUS,F,D35_E36T39,3580.740076,,1732.537177,e,12.2707179,e,110.7480613,e
2000,AUS,F,F41T43,4593.639648,,1611.938056,,31.03319446,e,467.47649,e
2000,AUS,F,G45T47,17043.28893,,7491.582094,,3397.490062,e,1223.249121,e
2000,AUS,F,H49,1301.000406,a,447.1439543,,161.5639902,e,142.5611624,e
2000,AUS,F,H50,950.9392023,a,237.1866165,,64.94004908,e,193.4689863,e
2000,AUS,F,H51,1522.600934,a,280.3289904,,938.1195409,e,643.1349096,e
2000,AUS,F,H52,4158.465003,a,1540.054892,,220.9665388,e,591.9856004,e
2000,AUS,F,H53,306.2004002,a,98.89517736,,59.18676795,e,83.9196613,e
2000,AUS,F,I55T56,1629.598534,,767.9937929,,309.3953675,e,102.631469,e
2000,AUS,F,J58T60,2483.298831,"e,a",1297.938425,"e,a",176.9528351,e,147.1080872,e
2000,AUS,F,J61,1904.329094,"e,a",774.8420336,"e,a",89.70752859,e,162.1480454,e
2000,AUS,F,J62T63,3319.632793,"e,a",1992.509906,"e,a",93.97448587,e,157.1902119,e
2000,AUS,F,K64T66,10254.5773,,6539.84676,e,223.2164746,e,183.2736143,e
2000,AUS,F,L68,919.8298447,"e,a",577.4035854,"e,a",9.469203522,e,18.09705447,e
2000,AUS,F,M69T75,9548.147409,"e,a",3542.426278,"e,a",465.5521909,e,755.0332647,e
2000,AUS,F,N77T82,5480.390377,"e,a",3866.688068,"e,a",351.7862419,e,240.1580792,e
2000,AUS,F,O84,0,,0,,0,,0,
2000,AUS,F,P85,228.1699438,"e,a",180.4601865,e,12.4244635,e,6.240595034,e
2000,AUS,F,Q86T88,187.0599952,"e,a",133.644199,e,0.955468407,e,9.884130413,e
2000,AUS,F,R90T93,1044.690345,"e,a",437.8351712,e,36.1653837,e,66.55384349,e
2000,AUS,F,S94T96,463.3390682,a,261.3275584,e,5.750312788,e,31.10134302,e
2000,AUS,F,T97T98,0,,0,,0,,0,
2000,AUT,D,A01T03,6631.618995,"e,a",3347.485706,e,539.2546982,e,775.7439364,e
2000,AUT,D,B05T09,996.2971518,,545.8322754,"e,a",91.7909063,"e,a",115.0658396,"e,a"
2000,AUT,D,C10T12,9182.996565,"e,a",3140.875492,"e,a",1655.72881,e,1141.984227,e
2000,AUT,D,C13T15,3198.334598,"e,a",1200.362646,"e,a",1152.047104,e,701.9707203,"e,a"
2000,AUT,D,C16,4457.150833,"e,a",1527.107123,"e,a",1718.302948,"e,a",609.4089137,"e,a"
2000,AUT,D,C17T18,6175.75866,"e,a",2395.527881,"e,a",2185.094907,"e,a",1279.30784,"e,a"
