iso3,year,commodity,sub_commodity,bgs_commodity_code,hs_code,production,unit,source
NRU,2017,phosphate rock,,738,2510,126000.0,tonnes (metric),BGS_WMS
NCL,2017,"nickel, mine",,19951,2604,215382.0,tonnes (metal content),BGS_WMS
NCL,2017,"cobalt, refined",,617,,2302.0,tonnes (metric),BGS_WMS
NCL,2017,"cobalt, mine",,848,2605,2780.0,tonnes (metal content),BGS_WMS
NCL,2017,ferro-alloys,Ferro-nickel,865,,269961.0,tonnes (metric),BGS_WMS
NCL,2017,"nickel, smelter/refinery",,907,,104094.0,tonnes (metric),BGS_WMS
PNG,2017,"copper, mine",,19941,2603,105419.0,tonnes (metal content),BGS_WMS
PNG,2017,"nickel, mine",,19951,2604,34666.0,tonnes (metal content),BGS_WMS
PNG,2017,"silver, mine",,1995,7106,69330.0,kilograms (metal content),BGS_WMS
PNG,2017,chromium ores and concentrates,,607,2610,90121.0,tonnes (metric),BGS_WMS
PNG,2017,"petroleum, crude",,634,,946000.0,tonnes (metric),BGS_WMS
PNG,2017,"cobalt, mine",,848,2605,3308.0,tonnes (metal content),BGS_WMS
PNG,2017,"gold, mine",,883,7108,65246.0,kilograms,BGS_WMS
PNG,2017,natural gas,,905,,11018.0,million cubic metres,BGS_WMS
DZA,2017,"silver, mine",,1995,7106,20.0,kilograms (metal content),BGS_WMS
DZA,2017,helium,Helium,20274,,14.0,million cubic metres,BGS_WMS
ERI,2017,"copper, mine",,19941,2603,7900.0,tonnes (metal content),BGS_WMS
ERI,2017,"silver, mine",,1995,7106,1192.0,kilograms (metal content),BGS_WMS
SLB,2017,bauxite,,589,2606,1524000.0,tonnes (metric),BGS_WMS
ERI,2017,gypsum and plaster,,653,,19000.0,tonnes (metric),BGS_WMS
ERI,2017,kaolin,,697,,200.0,tonnes (metric),BGS_WMS
ERI,2017,salt,,760,,310000.0,tonnes (metric),BGS_WMS
ERI,2017,"gold, mine",,883,7108,2700.0,kilograms,BGS_WMS
ERI,2017,"zinc, mine",,982,2608,95400.0,tonnes (metal content),BGS_WMS
GAB,2017,"petroleum, crude",,634,,10500000.0,tonnes (metric),BGS_WMS
GAB,2017,ferro-alloys,Ferro-silico-manganese,871,,21300.0,tonnes (metric),BGS_WMS
GAB,2017,"gold, mine",,883,7108,600.0,kilograms,BGS_WMS
GAB,2017,manganese ore,,898,2602,5079000.0,tonnes (metric),BGS_WMS
GAB,2017,natural gas,,905,,565.0,million cubic metres,BGS_WMS
GMB,2017,titanium minerals,Ilmenite,791,2614,3975.0,tonnes (metric),BGS_WMS
GHA,2017,"silver, mine",,1995,7106,4000.0,kilograms (metal content),BGS_WMS
GHA,2017,bauxite,,589,2606,1476966.0,tonnes (metric),BGS_WMS
GHA,2017,"petroleum, crude",,634,,7582380.0,tonnes (metric),BGS_WMS
GHA,2017,salt,,760,,250000.0,tonnes (metric),BGS_WMS
GHA,2017,diamond,,853,7102,86925.0,Carats,BGS_WMS
GHA,2017,"gold, mine",,883,7108,133303.0,kilograms,BGS_WMS
GHA,2017,manganese ore,,898,2602,3003580.0,tonnes (metric),BGS_WMS
GHA,2017,natural gas,,905,,2189.0,million cubic metres,BGS_WMS
GHA,2017,"aluminium, primary",,922,,33364.0,tonnes (metric),BGS_WMS
GHA,2017,"lead, refined",,929,,1150.0,tonnes (metric),BGS_WMS
GHA,2017,"steel, crude",,946,,250000.0,tonnes (metric),BGS_WMS
DZA,2017,bentonite and fuller's earth,Bentonite,596,,35600.0,tonnes (metric),BGS_WMS
ALB,2017,"nickel, mine",,19951,2604,5323.0,tonnes (metal content),BGS_WMS
ALB,2017,chromium ores and concentrates,,607,2610,808016.0,tonnes (metric),BGS_WMS
ALB,2017,coal,Lignite,614,,46000.0,tonnes (metric),BGS_WMS
ALB,2017,"petroleum, crude",,634,,954768.0,tonnes (metric),BGS_WMS
ALB,2017,gypsum and plaster,,653,,104120.0,tonnes (metric),BGS_WMS
ALB,2017,ferro-alloys,Ferro-chrome,861,,23987.0,tonnes (metric),BGS_WMS
ALB,2017,natural gas,,905,,102.0,million cubic metres,BGS_WMS
ALB,2017,salt,Sea salt,938,,25500.0,tonnes (metric),BGS_WMS
KAZ,2017,barytes,,1043,,569900.0,tonnes (metric),BGS_WMS
KAZ,2017,"copper, mine",,19941,2603,557800.0,tonnes (metal content),BGS_WMS
KAZ,2017,"silver, mine",,1995,7106,1060662.0,kilograms (metal content),BGS_WMS
KAZ,2017,rhenium,,20244,,1.0,tonnes (metric),BGS_WMS
KAZ,2017,bauxite,,589,2606,4846100.0,tonnes (metric),BGS_WMS
KAZ,2017,cadmium,,602,,1500.0,tonnes (metric),BGS_WMS
KAZ,2017,chromium ores and concentrates,,607,2610,6313300.0,tonnes (metric),BGS_WMS
KAZ,2017,coal,Bituminous,610,,101797300.0,tonnes (metric),BGS_WMS
KAZ,2017,coal,Lignite,614,,6094500.0,tonnes (metric),BGS_WMS
KAZ,2017,"petroleum, crude",,634,,86194000.0,tonnes (metric),BGS_WMS
KAZ,2017,fluorspar,,644,,100000.0,tonnes (metric),BGS_WMS
KAZ,2017,gypsum and plaster,,653,,133200.0,tonnes (metric),BGS_WMS
KAZ,2017,iron ore,,662,2601,38728200.0,tonnes (metric),BGS_WMS
