iso3,year,cit_revenue_usd
MUS,2015,313576560.3
MUS,2016,330981162.20000005
MUS,2017,372696995.3
MUS,2018,392052280.5
MUS,2019,451007469.59999996
MUS,2020,403387914.9
MUS,2021,353023980.0
MUS,2022,438069911.3
MUS,2023,539154120.0
MWI,2015,209598588.7
MWI,2016,176499269.5
MWI,2017,223221265.60000002
MWI,2018,227920118.0
MWI,2019,214685240.6
MWI,2020,229082458.0
MWI,2021,276085193.0
MWI,2022,340555990.09999996
MWI,2023,426557839.2
MYS,2015,19274031729.5854
MYS,2016,17387197337.340702
MYS,2017,17725127998.7692
MYS,2018,21450261922.7341
MYS,2019,20406564577.8586
MYS,2020,14948786920.3605
MYS,2021,22059478575.511898
MYS,2022,24150912688.26
MYS,2023,26090398500.4527
NAM,2015,607007219.3
NAM,2016,576506187.4000001
NAM,2017,631711022.4000001
NAM,2018,586535623.4
NAM,2019,540765814.6999999
NAM,2020,513849697.90000004
NAM,2021,526648700.6999999
NAM,2022,523131163.49999994
NAM,2023,651330142.0
NER,2015,223614277.0
NER,2016,201695946.70000002
NER,2017,191744539.0
NER,2018,203367678.0
NER,2019,189550394.7
NER,2020,207344846.60000002
NER,2021,243546043.1
NER,2022,253997256.5
NER,2023,306871835.6
NGA,2015,15111040870.0
NGA,2016,9529694096.0
NGA,2017,9610288221.0
NGA,2018,13433081620.0
NGA,2019,12977657180.0
NGA,2020,8989288546.0
NGA,2021,10327928910.0
NGA,2022,17543925350.0
NGA,2023,13003434890.0
NIC,2015,619345748.0
NIC,2016,681834284.0
NIC,2017,735064533.0
NIC,2018,712385422.0
NIC,2019,537968459.0
NIC,2020,534171727.00000006
NIC,2021,657779105.0
NIC,2022,845451859.0
NIC,2023,983431405.0
NIU,2015,-0.0627626004637459
NIU,2016,0.0
NIU,2017,3854.8594295328703
NIU,2018,83506.0314490562
NIU,2019,35301.27974965
NIU,2020,61204.760132238895
NIU,2021,-115180.71863060001
NIU,2022,430646.9192224
NIU,2023,-205622.64459140002
NLD,2015,20463865000.0
NLD,2016,26234723000.0
NLD,2017,27326972000.0
NLD,2018,32014483000.0
NLD,2019,33623427000.0
NLD,2020,28205404000.0
NLD,2021,39523639000.0
NLD,2022,49674397000.0
NLD,2023,56432464000.0
NOR,2015,17382453000.0
NOR,2016,14928214000.0
NOR,2017,19417972000.0
NOR,2018,28227113000.0
NOR,2019,24299773000.0
NOR,2020,10249863000.0
NOR,2021,49110827000.0
NOR,2022,109028583000.0
