iso3	year	resource_revenue	resource_taxes	total_taxes_revenue	cit_revenue	greenfieldfdi_outward	greenfieldfdi_inward	ip_payments	ip_receipts	fdi_inflows_wdi	external_debt_stocks	new_businesses_registered	imports	exports	gdp_pc	gdp_deflator	govt_exp_gdp	govt_exp_educ_gdp	physicians_per_1000	nurses_per_1000	health_exp_gdp	population	month_wage	who_gvt_health_expenditure	gdp	cthi_2021_rank	cthi_2021_share	cthi_2021_score	fsi_2022_rank	fsi_2022_score	region	region_tjn	eu28	oecd	g20	ukt	oecd_oct	physicians	nurses	resource_revenue_gdp	cit
KAZ	2017.5	14624110714.951694	14624110714.951694	30823305005.251865		128824775.0	8648489356.249998	146896266.76924387	1408251.111111111	6862931896.967472	158026019559.25555	24065.375	48436086673.476295	64539657282.09087	10365.748423981613	404.1171960832819	3027352342965.56	5921826426.173581	4.02558	7.399983333333332	5746594034.8281	18124624.0	539.6575	3638423489.6326594	187283675291.5329				78.0	62.9	Asia	Asia	0.0	0.0	0.0	0.0	0.0	72962.12388192	134121.91552293333	0.07808534669232248	0.2
KEN	2017.5		0.0	13607668049.693047	2992197021.704453	408322795.0	2104451408.75	121592146.09301287	62274193.36423433	722495735.342139	27124416059.922222	43309.0	19107477138.797558	10843668378.250555	1715.062602246241	105.49017543859104	1867840279646.5813	4268946328.2278633	0.16467777777777778	1.048311111111111	3929852085.317728	49322028.8	136.61	1807058199.1993113	87087190115.47894	63.0	0.0014053004066381	49.70798213959706	41.0	66.7	Africa	Africa	0.0	0.0	0.0	0.0	0.0	8122.242098275556	51704.830813582215		0.300000011920929
KGZ	2017.5		0.0	1561324414.6961715	202063365.1878549	22125000.0	223368750.0	5980331.666666667	1611361.7777777778	331540444.4444444	8032757170.78889	4392.5	5492844911.50671	2762144606.8050222	1243.1244745819013	174.57840840475077	203859754337.21964	468471513.04523903	2.22268	5.70811	488100303.73203653	6253220.0	212.4225	221688917.75948626	7800718561.952677						Asia	Asia	0.0	0.0	0.0	0.0	0.0	13898.9070296	35694.067614199994		0.1
KHM	2017.5		0.0	3484629455.434566	610725413.2440991	48000000.0	2523827262.5000005	17937511.273482054	3665585.5048756013	2776946588.9976277	12591452522.455557	5419.875	14184597926.052645	13524029375.987982	1374.8768439846933	181.46475043695733	322523437299.2022	509544174.15524095	0.1927	0.8632899999999999	1464338062.1554303	15889118.6	176.068	287385511.52523786	22363056841.49022						Asia	Asia	0.0	0.0	0.0	0.0	0.0	3061.83315422	13716.917196194		0.2
KIR	2017.5	133432579.7455901		28075561.35134717	4351040.56243271			0.0	0.0	799449.1988690567		2.8333333333333335	181590566.25520623	26640503.6883923	1530.9641400918545	135.60202803215432	14718884498.324846	20938811.766363908	0.2039	4.252377777777777	19043640.49706073	121459.1	346.92	14834709.496220296	186854622.6924012						Oceania	Oceania	0.0	0.0	0.0	0.0	0.0	24.76551049	516.4899777488888	0.7140983606557377	0.35
KNA	2017.5		0.0	184412123.03549543	20835956.558252312		10337500.0	2456085.700487461	11107.366255144034	77746242.23201881					20441.006238186576	120.2798619725849	23792446258.613335	35665162.688981034	2.7367333333333335	4.2188	49151373.92792215	47724.6	1708.6201935274405	22159127.22307763	964358751.851852				68.0	77.225	Americas	Caribbean/American isl.	0.0	0.0	0.0	0.0	0.0	130.60950363999999	201.34054247999998		0.33
KOR	2017.5	0.0	0.0	295513001149.9594	57036230574.63001	25650689909.999996	7375118862.499996	10197260000.0	6906580000.0	12679970000.0		87548.5	597030825702.5796	670798345670.0626	30903.186108141737	102.38504669642901	41359201220855.31	71615659603.64003	2.36295	7.11673	115518053640.65215	51344608.4	3084.19	63423834244.35823	1608739288097.428				16.0	63.8	Asia	Asia	0.0	1.0	1.0	0.0	0.0	121324.74241878	365405.714938532	0.0	0.2750000059604645
KWT	2017.5	61523282712.138145	0.0	1755593484.7488768		3114280107.5	694792500.0000001			252552496.86593607		9057.5	54702165494.12675	80339021697.95593	32946.82203449485	100.83584500042963		7116668995.701491	2.45276	7.123855555555555	5709371082.26216	4110879.1	2150.7271293756594	4388692631.737447	127374685491.6691				35.0	74.575	Asia	Asia	0.0	0.0	0.0	0.0	0.0	10082.999821316	29285.308914752222	0.4830102816321541	0.15
LAO	2017.5	325311643.9483975	247840683.93619508	2208769611.363095	286837691.9248096	45450000.0	1212671666.2499998	0.0	0.0	1045371523.2681857	13825294171.711111	405.75	7269305738.572557	5042201898.225235	2328.3073680529396	120.951591048667		442296632.4065457	0.38315	1.18803	406757666.75116545	7045546.7	239.79	132482917.5664726	16619084839.02472						Asia	Asia	0.0	0.0	0.0	0.0	0.0	2699.501218105	8370.320846001	0.01957458230097634	0.24
LBN	2017.5		0.0	6282572141.848337		426136437.5	262579778.75000003	22291962.48407854	25098837.925940257	2173183839.907529	69750553170.94444		22022648116.913666	10166547597.92146	7613.673187953208	190.89672499378955	997734614328.0576	954376765.2213074	2.13943	1.627711111111111	3335580925.804024	5930093.5	780.01	1741888727.198395	43391091662.510605	43.0	0.0050095682038878	75.09693473951488	77.0	64.6	Asia	Asia	0.0	0.0	0.0	0.0	0.0	12687.019936704999	9652.479079877778		0.15
