iso3_o	iso3_d	emp	pi	txc	revt	t_at
MEX	IDN	862.0	-1201667.503	0.0	2802804.374	3878150.539
MEX	IND	3060.0	1537333.805	420773.188	22489270.327	37403130.461
MEX	IRL	31.0	106941789.8649	14346927.205	330148972.984	1089893128.967
MEX	ISR	105.0	-21262457.666	0.0	24064384.536	15202754.403
MEX	ITA	747.0	-81081436.041	2098720.221	242773489.991	178384657.083
MEX	JAM	165.0	1936574.326	486024.368	5304341.7	8523636.601
MEX	JPN	22.0	27033752.778	4565143.642	438751419.625	82686836.139
MEX	KOR	3.0	0.0	0.0	33983805.647	0.0
MEX	LUX	99.0	530178.9777	11865.202	870746.44	28661.516
MEX	MDA	0.0	0.0	0.0	0.0	0.0
MEX	MEX	1501352.0	54326999062.478	7269590955.731	262843916539.81	290175590765.96
MEX	MKD	1052.0	4984533.722	895070.629	67720661.407	47227614.992
MEX	MLT	0.0	2144781.9269999997	0.0	9.977	0.0
MEX	MYS	285.0	1963905.425	4500.752	19601968.128	50514835.417
MEX	NIC	4902.0	95629838.676	36325527.114	618773415.285	488208966.653
MEX	NLD	563.0	2102044613.5331998	219622593.81	719479642.267	91054913.821
MEX	PAN	3478.0	56692272.04	2812717.106	948082803.872	392136100.975
MEX	PER	25425.0	978538933.479	286927873.795	6150598054.077	6128073147.146
MEX	PHL	27.0	7901.284	5441.132	0.0	3157.915
MEX	POL	5608.0	5409332.821	3468227.501	292001191.588	263464871.64
MEX	PRI	3164.0	12198119.2848	915010.256	1015523444.476	1402206383.954
MEX	PRT	833.0	2101562.407	136224.249	104788119.746	48319907.852
MEX	PRY	444.0	-3501745.821	41497.185	191711061.511	149654186.923
MEX	ROU	1496.0	11449332.579	1921739.057	115250404.946	38886762.559
MEX	RUS	617.0	6474726.71	230938.168	82766408.256	83747485.672
MEX	SGP	2356.0	-451163.316	163164.48	54305659.768	11739222.464
MEX	SLV	4090.0	82562270.07	34023465.512	550770916.438	358817257.073
MEX	SRB	1316.0	8096337.911	0.0	151370126.734	50882971.783
MEX	SVK	889.0	32027702.775	5212.441	184630474.222	174903837.362
MEX	SVN	714.0	49026793.919	2917894.671	122782382.111	41803125.144
MEX	SWE	58.0	2485240.068	557598.965	19317038.142	2212307.739
MEX	THA	38.0	132633.376	0.0	680592.832	115607.904
MEX	TUR	762.0	13110747.116	87604.971	105913418.672	93533716.153
MEX	UKR	141.0	837868.932	255273.425	9939867.121	20731807.661
MEX	URY	1427.0	-8787828.907	3068350.117	321823527.47	246458217.286
MEX	USA	68443.0	3035503571.067	218567693.707	32164034732.304	15585681993.867
MEX	VEN	4893.0	-2618841.573	278264.806	44744697.892	32781661.848
MEX	VGB	3.0	-7103126.85	0.0	0.0	5509099.861
MEX	WSM	0.0	-790.57	0.0	0.0	1038989.816
MEX	ZAF	120.0	-126244.173	0.0	607336.65	165541.127
MYS	ARE	94.0	14844338.687700002	0.0	277574083.663	5578290.842
MYS	AUS	9591.0	970932751.238	25186430.693	4242286782.426	23569035093.564
MYS	BRN	749.0	-7663485.891	3385177.97	131730309.406	47294498.02
MYS	CHN	25303.0	707261329.951	62120305.693	8069175023.267	5071376198.762
MYS	CYM	0.0	931836657.4749	151100169.802	944958623.267	1206622623.515
MYS	FJT	334258.0	6857410113.39155	1551223755.198	69143331950.247	109654790657.18
MYS	GBR	17244.0	-115330657.426	78555066.832	4357579603.465	9134473343.564
MYS	HKG	4423.0	-85688763.861	22869188.366	1560711822.772	2655846100.743
MYS	IDN	115969.0	793326791.089	403988179.703	7920891415.099	8802403708.911
MYS	IND	26224.0	-2263376.485	11345406.931	492955835.644	4200907632.673
MYS	JPN	391.0	219892724.505	8151763.861	427112552.475	960284851.238
MYS	KHM	4152.0	229748784.653	35174089.356	722807382.673	673405395.297
MYS	MMR	1196.0	25403491.584	1637924.257	111580056.931	100179276.733
MYS	MUS	61.0	-1214883696.04	5911995.297	498442739.109	1480086042.574
MYS	MYS	806935.0	33721784769.3935	9283336576.238	176706998205.45	289824810355.94
MYS	NLD	1017.0	75370009.0095	7559875.0	1252344941.832	1027629912.129
MYS	NZL	1425.0	1543785494.059	1011071.04	639140132.426	547575911.634
MYS	OAF	7360.0	1052505710.8536499	77885666.337	8340222776.485	2137938605.446
MYS	OAM	2472.0	408414390.89154994	20794691.337	1442047812.376	8635718377.723
MYS	OAS	41165.0	1091422044.8762	178127187.871	4605729185.149	7126582728.218
MYS	OTE	6387.0	338260427.52494997	37151891.089	3140671069.555	6738314331.683
MYS	PHL	3966.0	-5076300.495	13229196.287	694570943.564	77055943.317
MYS	SAU	3.0	6029031.188	777726.98	35686681.436	25308501.98
MYS	SGP	29779.0	1577061043.6635	315204858.663	13131524344.802	18130111574.257
MYS	THA	9302.0	54481078.713	21828881.931	1936784594.802	701631079.455
MYS	TUR	18957.0	-60760756.436	12412587.129	1454174532.178	1010294207.673
MYS	USA	2385.0	-249264092.079	13034206.188	1787738690.594	4035709014.852
MYS	VGB	159.0	-1574434512.376	409940.842	70097487.129	293824399.01
MYS	VNM	4484.0	52188771.04	42370275.743	854792527.723	1259603013.366
NLD	BEL	115241.0	3892996226.155	444196110.155	36868510921.944	9792940876.545
NLD	DEU	229237.0	6541590352.997	2015178804.372	90262377721.587	47454041540.126
NLD	FJT	3438886.0	103960731326.0185	25636294385.909	1506168097762.6	671256390427.52
NLD	GRPS	830935.0	26291631153.756	3514378161.871	485251101463.86	224425710563.52
NLD	HKG	4544.0	457322871.0591	122186351.679	9188658533.466	524832702.652
NLD	NLD	582272.0	21777671488.173	4238728416.629	308805389999.61	124614286608.34
NLD	OAF	70195.0	4394443246.221749	2133197336.509	21916389136.261	23306227986.806
NLD	OAS	653143.0	29531398795.6657	10130745693.0	310428609028.07	137618909194.39
NLD	OTE	1416975.0	32852963501.403847	6786842041.23	533467004606.99	220296500498.55
NLD	POL	118616.0	1904514988.665	489569887.093	18785446350.467	7837227064.943
NOR	ARE	780.0	108155700.0	-2000.0	277740000.0	12909000.0
NOR	ARG	620.0	-43329000.0	2028000.0	164011000.0	54380000.0
NOR	AUS	1400.0	-701668000.0	2126000.0	459029000.0	1359113000.0
NOR	AUT	1730.0	752000.0	11295000.0	945725000.0	246726000.0
NOR	BEL	2920.0	-1779000.0	25711000.0	1241022000.0	939968000.0
NOR	BGR	1840.0	67901000.0	3641000.0	250976000.0	2335000.0
NOR	BRA	18930.0	-328428000.0	195618000.0	6530875000.0	9971863000.0
NOR	CAN	3900.0	373199000.0	81388000.0	1448696000.0	2618247000.0
NOR	CHE	180.0	211446000.0	22769000.0	2153889000.0	131912000.0
NOR	CHL	2050.0	78963000.0	1336000.0	397217000.0	1828734000.0
NOR	CHN	4900.0	89924000.0	13513000.0	1287524000.0	481381000.0
NOR	COL	840.0	-33560000.0	1360000.0	358889000.0	289651000.0
NOR	CZE	2610.0	14844000.0	2714000.0	382236000.0	229407000.0
NOR	DEU	11060.0	64697000.0	52249000.0	9027894000.0	6788050000.0
NOR	DNK	10790.0	1701392000.0	50891000.0	9144473000.0	3836213000.0
NOR	EGY	680.0	26400000.0	4008000.0	138332000.0	56919000.0
NOR	ESP	5710.0	86112000.0	15222000.0	965869000.0	268182000.0
NOR	EST	990.0	14243000.0	238000.0	230186000.0	101684000.0
NOR	FIN	8270.0	190521000.0	16556000.0	2511499000.0	1312109000.0
NOR	FJT	242700.0	12686877600.0	3347520000.0	113369087000.0	106285424000.0
NOR	FRA	5590.0	252651000.0	72659000.0	2425284000.0	769334000.0
NOR	GBR	14750.0	780104000.0	77222000.0	4989948000.0	8275958000.0
NOR	GHA	90.0	-20177000.0	4527000.0	60909000.0	23934000.0
NOR	GRC	230.0	7131000.0	5494000.0	169958000.0	53400000.0
NOR	HKG	110.0	9555300.0	877000.0	51648000.0	43152000.0
NOR	HUN	3310.0	80222400.0	7076000.0	754917000.0	154034000.0
NOR	IDN	630.0	5875000.0	4919000.0	165311000.0	136564000.0
NOR	IND	6720.0	-31826000.0	17894000.0	921345000.0	486089000.0
NOR	IRL	810.0	83990700.0	4616000.0	1913167000.0	6024930000.0
NOR	ISL	240.0	-398000.0	698000.0	80476000.0	49618000.0
NOR	ITA	2190.0	-1179000.0	6114000.0	1049874000.0	417833000.0
NOR	JPN	550.0	20315000.0	6884000.0	432525000.0	92615000.0
NOR	KOR	1040.0	58237000.0	6144000.0	1670292000.0	2084039000.0
NOR	LTU	2440.0	15451000.0	1518000.0	312655000.0	178915000.0
NOR	LUX	320.0	225755100.0	20796000.0	1005216000.0	370648000.0
NOR	LVA	2870.0	33133000.0	2222000.0	392171000.0	164472000.0
