iso_partner,partner_jurisdiction,year,net_misalignment_musd,net_misalignment_bn,group
LVA,Latvia,2020,2692.586552848897,2.6925865528488973,benefits_from_ut
LVA,Latvia,2021,-14130.908892517813,-14.130908892517812,benefits_from_ut
LVA,Latvia,2022,146.99269745909567,0.14699269745909566,benefits_from_ut
POL,Poland,2016,-4360.075606335344,-4.360075606335344,benefits_from_ut
POL,Poland,2017,-10052.664215441077,-10.052664215441077,benefits_from_ut
POL,Poland,2018,-6745.13054826392,-6.74513054826392,benefits_from_ut
POL,Poland,2019,-11499.09113168662,-11.49909113168662,benefits_from_ut
POL,Poland,2020,-5696.478239271217,-5.696478239271217,benefits_from_ut
POL,Poland,2021,-13283.020529248324,-13.283020529248324,benefits_from_ut
POL,Poland,2022,-11237.617841412231,-11.23761784141223,benefits_from_ut
PRT,Portugal,2016,-1379.0155301071477,-1.3790155301071476,benefits_from_ut
PRT,Portugal,2017,-941.4515398156062,-0.9414515398156063,benefits_from_ut
PRT,Portugal,2018,587.421968424344,0.5874219684243439,benefits_from_ut
PRT,Portugal,2019,4021.633074638553,4.021633074638553,benefits_from_ut
PRT,Portugal,2020,-2549.938712393761,-2.549938712393761,benefits_from_ut
PRT,Portugal,2021,-3588.1649285799117,-3.5881649285799115,benefits_from_ut
PRT,Portugal,2022,-1482.532625279469,-1.4825326252794688,benefits_from_ut
ROU,Romania,2016,-1809.6135048116794,-1.8096135048116795,benefits_from_ut
ROU,Romania,2017,-5978.640440058102,-5.978640440058102,benefits_from_ut
ROU,Romania,2018,-5148.181980074394,-5.148181980074394,benefits_from_ut
ROU,Romania,2019,-8069.441528842102,-8.069441528842102,benefits_from_ut
ROU,Romania,2020,-3521.8618450851714,-3.5218618450851715,benefits_from_ut
ROU,Romania,2021,-9223.32971804321,-9.223329718043209,benefits_from_ut
ROU,Romania,2022,-4893.362338453822,-4.893362338453822,benefits_from_ut
SVK,Slovak Republic,2016,-46.60644465442948,-0.04660644465442948,benefits_from_ut
SVK,Slovak Republic,2017,-1830.5006410618162,-1.830500641061816,benefits_from_ut
SVK,Slovak Republic,2018,-742.0025163588418,-0.7420025163588418,benefits_from_ut
SVK,Slovak Republic,2019,-1285.0260237099815,-1.2850260237099815,benefits_from_ut
SVK,Slovak Republic,2020,-1049.5127250228848,-1.0495127250228848,benefits_from_ut
SVK,Slovak Republic,2021,-1229.9871439158187,-1.2299871439158188,benefits_from_ut
SVK,Slovak Republic,2022,384.4247447909188,0.3844247447909188,benefits_from_ut
SVN,Slovenia,2016,-85.33515848505245,-0.08533515848505245,benefits_from_ut
SVN,Slovenia,2017,-400.1583751780194,-0.4001583751780194,benefits_from_ut
SVN,Slovenia,2018,-65.44964750125393,-0.06544964750125394,benefits_from_ut
SVN,Slovenia,2019,-202.61424974933516,-0.20261424974933515,benefits_from_ut
SVN,Slovenia,2020,-344.37355474012793,-0.34437355474012793,benefits_from_ut
SVN,Slovenia,2021,-301.6565007951947,-0.3016565007951947,benefits_from_ut
SVN,Slovenia,2022,-584.5890940096991,-0.5845890940096992,benefits_from_ut
AUT,Austria,2016,74.33121955267279,0.07433121955267279,loses_under_ut
AUT,Austria,2017,3215.8966628318203,3.2158966628318204,loses_under_ut
AUT,Austria,2018,-2804.4751076341854,-2.8044751076341856,loses_under_ut
AUT,Austria,2019,1402.0369695001618,1.4020369695001618,loses_under_ut
AUT,Austria,2020,1834.9274975269582,1.8349274975269583,loses_under_ut
AUT,Austria,2021,8582.893537505088,8.582893537505088,loses_under_ut
AUT,Austria,2022,-1821.8423363679517,-1.8218423363679517,loses_under_ut
DNK,Denmark,2016,6885.867842970347,6.885867842970347,loses_under_ut
DNK,Denmark,2017,15818.399624885116,15.818399624885116,loses_under_ut
DNK,Denmark,2018,9887.320817640668,9.887320817640667,loses_under_ut
DNK,Denmark,2019,12436.011609324501,12.4360116093245,loses_under_ut
DNK,Denmark,2020,9037.886027051325,9.037886027051325,loses_under_ut
DNK,Denmark,2021,31221.745404339286,31.221745404339288,loses_under_ut
DNK,Denmark,2022,2947.144397877594,2.947144397877594,loses_under_ut
FIN,Finland,2016,-641.0204323898357,-0.6410204323898357,loses_under_ut
FIN,Finland,2017,7715.979238319258,7.715979238319258,loses_under_ut
FIN,Finland,2018,-1953.0222357815283,-1.9530222357815283,loses_under_ut
FIN,Finland,2019,-3326.1772483402638,-3.326177248340264,loses_under_ut
FIN,Finland,2020,-2633.507601532419,-2.633507601532419,loses_under_ut
FIN,Finland,2021,-617.0634424207215,-0.6170634424207214,loses_under_ut
FIN,Finland,2022,2372.768287652153,2.372768287652153,loses_under_ut
IRL,Ireland,2016,620.9593316193464,0.6209593316193464,loses_under_ut
IRL,Ireland,2017,11636.10173448667,11.63610173448667,loses_under_ut
IRL,Ireland,2018,-2648.475244872099,-2.6484752448720994,loses_under_ut
IRL,Ireland,2019,27658.1882190312,27.6581882190312,loses_under_ut
IRL,Ireland,2020,38478.92237404882,38.47892237404882,loses_under_ut
IRL,Ireland,2021,87290.38580494907,87.29038580494907,loses_under_ut
IRL,Ireland,2022,79875.2232306508,79.87522323065079,loses_under_ut
MLT,Malta,2016,2151.226771143504,2.151226771143504,loses_under_ut
MLT,Malta,2017,5688.171766569616,5.688171766569616,loses_under_ut
MLT,Malta,2018,5287.154929926545,5.287154929926546,loses_under_ut
MLT,Malta,2019,8863.747123395066,8.863747123395065,loses_under_ut
MLT,Malta,2020,-17415.226205713443,-17.41522620571344,loses_under_ut
MLT,Malta,2021,7828.68152917619,7.82868152917619,loses_under_ut
MLT,Malta,2022,6926.8846094456485,6.926884609445649,loses_under_ut
NLD,Netherlands,2016,88374.1337091536,88.3741337091536,loses_under_ut
NLD,Netherlands,2017,38810.92835117757,38.81092835117757,loses_under_ut
NLD,Netherlands,2018,126476.63842433707,126.47663842433707,loses_under_ut
NLD,Netherlands,2019,58307.648956804085,58.30764895680409,loses_under_ut
NLD,Netherlands,2020,34451.25518759425,34.45125518759425,loses_under_ut
NLD,Netherlands,2021,-3894.2806767757356,-3.8942806767757356,loses_under_ut
NLD,Netherlands,2022,12489.13833763312,12.48913833763312,loses_under_ut
SWE,Sweden,2016,18912.26052100758,18.912260521007582,loses_under_ut
SWE,Sweden,2017,24643.19662801288,24.64319662801288,loses_under_ut
SWE,Sweden,2018,9408.349949754242,9.40834994975424,loses_under_ut
SWE,Sweden,2019,22726.446149181553,22.72644614918155,loses_under_ut
SWE,Sweden,2020,15352.556650046747,15.352556650046747,loses_under_ut
SWE,Sweden,2021,-10038.8904599065,-10.0388904599065,loses_under_ut
SWE,Sweden,2022,-8010.314201561052,-8.010314201561052,loses_under_ut
