iso3,year,fsi_indicator_si01,fsi_indicator_si02,fsi_indicator_si03,fsi_indicator_si04,fsi_indicator_si05,fsi_indicator_si06,fsi_indicator_si07,fsi_indicator_si08,fsi_indicator_si09,fsi_indicator_si10,fsi_indicator_si11,fsi_indicator_si12,fsi_indicator_si13,fsi_indicator_si14,fsi_indicator_si15,fsi_indicator_si16,fsi_indicator_si17,fsi_indicator_si18,fsi_indicator_si19,fsi_indicator_si20
BRN,2025,47.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,50.0,100.0,43.63,57.672413793103445,0.0,57.5
BWA,2025,47.0,75.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,80.0,75.0,30.0,50.0,100.0,23.67,100.0,0.0,37.5
CAN,2025,21.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,75.0,30.0,0.0,70.0,10.0,100.0,17.65,0.0,0.0,48.0
CHE,2025,54.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,90.0,75.0,100.0,75.0,100.0,10.0,100.0,66.34,0.0,0.0,52.0
CHL,2025,57.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,37.5,80.0,0.0,100.0,18.67,41.293103448275865,0.0,46.0
CHN,2025,34.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,37.5,90.0,20.0,100.0,46.9,28.879310344827587,0.0,57.5
CMR,2025,60.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,37.5,100.0,60.0,95.0,31.37,75.0,0.0,54.0
COK,2025,51.0,75.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,37.5,70.0,100.0,100.0,43.3,39.741379310344826,0.0,15.5
COL,2025,40.0,50.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,30.0,50.0,70.0,18.67,0.0,0.0,48.0
CRI,2025,47.0,50.0,0.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,100.0,100.0,40.0,100.0,16.67,0.0,0.0,44.0
