# Canonical GDP: World Bank WDI indicator NY.GDP.MKTP.CD (GDP, current US$),
# all reporting countries, 2016-2022. Fetched 2026-07-19 from
# https://api.worldbank.org/v2/country/all/indicator/NY.GDP.MKTP.CD . WB aggregate
# rows dropped (iso3 filtered against pycountry). SINGLE canonical GDP for the repo
# (CbCR pipeline + extractive WB-GDP reference). Refresh: re-run src/_fetch_canonical_gdp.py.
iso3,year,gdp_current_usd
ISR,2018,375470422244.408
ISR,2019,399207771081.611
ISR,2020,410908899711.272
ISR,2021,489735019666.026
ISR,2022,525157951212.871
ITA,2016,1887111188176.93
ITA,2017,1970720904584.71
ITA,2018,2099435266458.67
ITA,2019,2019606796583.53
ITA,2020,1907481094079.23
ITA,2021,2179207773596.09
ITA,2022,2104067630319.46
JAM,2016,14898999754.1229
JAM,2017,15783583236.675
JAM,2018,16855447986.2221
JAM,2019,17026269262.5307
JAM,2020,15000214216.2439
JAM,2021,15963885376.3537
JAM,2022,18813516805.214
JOR,2016,43688498732.3944
JOR,2017,45535614366.1972
JOR,2018,47435850422.5352
JOR,2019,48640273802.8169
JOR,2020,47931770985.9155
JOR,2021,50702940985.9155
JOR,2022,53516930140.8451
JPN,2016,5110357383254.44
JPN,2017,5038231631660.71
JPN,2018,5154293721629.56
JPN,2019,5245755000479.03
JPN,2020,5189197543645.38
JPN,2021,5225933520753.1
JPN,2022,4447976207314.78
KAZ,2016,137278320084.171
KAZ,2017,166805788827.233
KAZ,2018,179339977690.485
KAZ,2019,181667184854.501
KAZ,2020,171082365861.423
KAZ,2021,197112255360.612
KAZ,2022,225496328925.494
KEN,2016,74815144163.8931
KEN,2017,82036510877.2599
KEN,2018,92202979985.2863
KEN,2019,100378436207.371
KEN,2020,100657505750.545
KEN,2021,109703658904.994
KEN,2022,114448978152.637
KGZ,2016,6813095379.1187
KGZ,2017,7702938379.42036
KGZ,2018,8271106235.41552
KGZ,2019,9371275264.36735
KGZ,2020,8270468614.24051
KGZ,2021,9249133946.26531
KGZ,2022,12134931017.9465
KHM,2016,26556545153.3573
KHM,2017,29355665909.7905
KHM,2018,33145892168.8958
KHM,2019,36685356407.7206
KHM,2020,34818073901.4851
KHM,2021,36790163687.4421
KHM,2022,39994532959.6074
KIR,2016,206467818.503227
KIR,2017,223029864.54193
KIR,2018,233859230.192198
KIR,2019,216891541.021351
KIR,2020,220909306.750809
KIR,2021,285451584.406531
